136	Provincial Treasury	\N	2020-05-29 20:13:35.430604	2020-05-29 20:13:35.430604	\N	ProvincialAgency	3	\N
137	Public Works and Roads	\N	2020-05-29 20:13:35.433921	2020-05-29 20:13:35.433921	\N	ProvincialAgency	3	\N
138	Social Development	\N	2020-05-29 20:13:35.436291	2020-05-29 20:13:35.436291	\N	ProvincialAgency	3	\N
139	Agriculture, Land Reform and Rural Development	\N	2020-05-29 20:13:35.438445	2020-05-29 20:13:35.438445	\N	ProvincialAgency	8	\N
140	Co-operative Governance, Human Settlements and Traditional Affairs	\N	2020-05-29 20:13:35.440778	2020-05-29 20:13:35.440778	\N	ProvincialAgency	8	\N
141	Economic Development and Tourism	\N	2020-05-29 20:13:35.448909	2020-05-29 20:13:35.448909	\N	ProvincialAgency	8	\N
142	Education	\N	2020-05-29 20:13:35.451352	2020-05-29 20:13:35.451352	\N	ProvincialAgency	8	\N
143	Environment and Nature Conservation	\N	2020-05-29 20:13:35.453592	2020-05-29 20:13:35.453592	\N	ProvincialAgency	8	\N
144	Health	\N	2020-05-29 20:13:35.455579	2020-05-29 20:13:35.455579	\N	ProvincialAgency	8	\N
145	Provincial Treasury	\N	2020-05-29 20:13:35.457484	2020-05-29 20:13:35.457484	\N	ProvincialAgency	8	\N
146	Roads and Public Works	\N	2020-05-29 20:13:35.459234	2020-05-29 20:13:35.459234	\N	ProvincialAgency	8	\N
147	Social Development	\N	2020-05-29 20:13:35.461169	2020-05-29 20:13:35.461169	\N	ProvincialAgency	8	\N
148	Sport, Arts and Culture	\N	2020-05-29 20:13:35.463043	2020-05-29 20:13:35.463043	\N	ProvincialAgency	8	\N
149	Transport, Safety and Liaison	\N	2020-05-29 20:13:35.465109	2020-05-29 20:13:35.465109	\N	ProvincialAgency	8	\N
150	Agriculture	\N	2020-05-29 20:13:35.46687	2020-05-29 20:13:35.46687	\N	ProvincialAgency	4	\N
151	Community Safety	\N	2020-05-29 20:13:35.468527	2020-05-29 20:13:35.468527	\N	ProvincialAgency	4	\N
152	Cultural Affairs and Sport	\N	2020-05-29 20:13:35.470483	2020-05-29 20:13:35.470483	\N	ProvincialAgency	4	\N
153	Economic Development and Tourism	\N	2020-05-29 20:13:35.47241	2020-05-29 20:13:35.47241	\N	ProvincialAgency	4	\N
154	Education	\N	2020-05-29 20:13:35.474675	2020-05-29 20:13:35.474675	\N	ProvincialAgency	4	\N
155	Environmental Affairs and Development Planning	\N	2020-05-29 20:13:35.476899	2020-05-29 20:13:35.476899	\N	ProvincialAgency	4	\N
156	Health	\N	2020-05-29 20:13:35.479097	2020-05-29 20:13:35.479097	\N	ProvincialAgency	4	\N
157	Human Settlements	\N	2020-05-29 20:13:35.481253	2020-05-29 20:13:35.481253	\N	ProvincialAgency	4	\N
158	Local Government	\N	2020-05-29 20:13:35.483936	2020-05-29 20:13:35.483936	\N	ProvincialAgency	4	\N
159	Provincial Treasury	\N	2020-05-29 20:13:35.486191	2020-05-29 20:13:35.486191	\N	ProvincialAgency	4	\N
160	Social Development	\N	2020-05-29 20:13:35.488428	2020-05-29 20:13:35.488428	\N	ProvincialAgency	4	\N
161	Transport and Public Works	\N	2020-05-29 20:13:35.490669	2020-05-29 20:13:35.490669	\N	ProvincialAgency	4	\N
162	Buffalo City	\N	2020-05-29 20:13:35.52498	2020-05-29 20:13:35.52498	BUF	MetropolitanMunicipality	9	\N
163	City of Cape Town	\N	2020-05-29 20:13:35.538665	2020-05-29 20:13:35.538665	CPT	MetropolitanMunicipality	4	\N
164	City of Johannesburg	\N	2020-05-29 20:13:35.540312	2020-05-29 20:13:35.540312	JHB	MetropolitanMunicipality	1	\N
165	City of Tshwane	\N	2020-05-29 20:13:35.548446	2020-05-29 20:13:35.548446	TSH	MetropolitanMunicipality	1	\N
166	Ekurhuleni	\N	2020-05-29 20:13:35.555453	2020-05-29 20:13:35.555453	EKU	MetropolitanMunicipality	1	\N
167	eThekwini	\N	2020-05-29 20:13:35.557348	2020-05-29 20:13:35.557348	ETH	MetropolitanMunicipality	5	\N
168	Mangaung	\N	2020-05-29 20:13:35.573186	2020-05-29 20:13:35.573186	MAN	MetropolitanMunicipality	7	\N
169	Nelson Mandela Bay	\N	2020-05-29 20:13:35.577807	2020-05-29 20:13:35.577807	NMA	MetropolitanMunicipality	9	\N
170	!Kheis	\N	2020-05-29 20:13:35.624866	2020-05-29 20:13:35.624866	NC084	LocalMunicipality	8	43
171	Abaqulusi	\N	2020-05-29 20:13:35.627435	2020-05-29 20:13:35.627435	KZN263	LocalMunicipality	5	44
172	Albert Luthuli	\N	2020-05-29 20:13:35.629856	2020-05-29 20:13:35.629856	MP301	LocalMunicipality	2	15
